                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.75777,                0.75902,                 1.2055,                0.78147,                0.75061,                0.79141,                0.57988,                 1.0332,                0.93192,                 1.4295,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.7729,                 0.7938,                 1.1902,                0.85398,                0.69963,                0.78532,                0.58599,                 1.0128,                0.91932,                 1.4209,             0.00087484,             0.00087484,             0.00087484
                     51,                0.77036,                0.75435,                 1.2018,                0.82982,                0.67849,                0.78266,                0.57873,                0.98276,                0.90396,                 1.4057,             0.00085834,             0.00085834,             0.00085834
                     52,                0.75127,                0.71521,                 1.1907,                0.76714,                0.75744,                0.79279,                0.59129,                 1.0016,                 0.9399,                  1.411,             0.00084184,             0.00084184,             0.00084184
                     53,                0.75219,                0.71768,                 1.1844,                0.83536,                0.75489,                 0.7918,                0.59016,                0.98813,                0.91852,                 1.4218,             0.00082533,             0.00082533,             0.00082533
                     54,                0.80617,                0.75724,                 1.2231,                0.84865,                0.70931,                0.79497,                0.56288,                 1.0092,                 0.9259,                 1.4451,             0.00080883,             0.00080883,             0.00080883
                     55,                0.73999,                0.70514,                 1.1593,                0.85982,                0.71899,                0.80066,                0.58582,                  1.028,                0.90719,                  1.448,             0.00079233,             0.00079233,             0.00079233
                     56,                0.77696,                 0.7071,                 1.1914,                0.77904,                0.75107,                0.80563,                0.60326,                0.96874,                0.86624,                 1.3645,             0.00077582,             0.00077582,             0.00077582
                     57,                0.73289,                0.69075,                  1.183,                0.82979,                0.72273,                0.80842,                 0.5909,                0.92357,                0.85907,                 1.3433,             0.00075932,             0.00075932,             0.00075932
                     58,                0.73579,                0.69272,                 1.1821,                0.87801,                0.71577,                0.81261,                0.60028,                0.94751,                0.86729,                 1.3468,             0.00074282,             0.00074282,             0.00074282
                     59,                0.73731,                0.67766,                  1.169,                0.86213,                 0.7503,                0.80859,                0.60861,                0.90168,                0.77207,                 1.3355,             0.00072631,             0.00072631,             0.00072631
                     60,                0.71599,                0.69882,                 1.1548,                0.87123,                0.70478,                0.79762,                0.59931,                 0.9271,                0.83567,                 1.3631,             0.00070981,             0.00070981,             0.00070981
                     61,                0.69852,                0.68676,                 1.1487,                0.82899,                 0.7739,                0.81707,                0.59546,                0.95401,                0.87101,                  1.362,             0.00069331,             0.00069331,             0.00069331
                     62,                0.73622,                 0.7182,                 1.1686,                0.87883,                0.73956,                0.81405,                0.61109,                0.93364,                0.83136,                 1.3503,              0.0006768,              0.0006768,              0.0006768
                     63,                0.68182,                0.66132,                 1.1303,                0.86966,                0.74058,                0.80846,                0.60684,                0.87857,                0.86428,                 1.3326,              0.0006603,              0.0006603,              0.0006603
                     64,                0.70788,                0.68121,                 1.1444,                0.84878,                0.76248,                0.81794,                0.60987,                0.90918,                0.86859,                  1.346,              0.0006438,              0.0006438,              0.0006438
                     65,                0.67212,                0.64132,                 1.1316,                0.85093,                0.76912,                0.84538,                0.62529,                0.92215,                0.83724,                 1.3367,             0.00062729,             0.00062729,             0.00062729
                     66,                0.66278,                0.62189,                  1.113,                0.83306,                0.73546,                 0.8391,                 0.6362,                0.89082,                0.81549,                  1.312,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.6522,                0.58529,                 1.1109,                0.77971,                0.78072,                0.83129,                0.62805,                0.90029,                0.77475,                 1.3159,             0.00059429,             0.00059429,             0.00059429
                     68,                0.65949,                0.66807,                 1.1317,                0.86303,                0.72489,                0.81924,                0.60821,                0.93908,                 0.8122,                  1.327,             0.00057778,             0.00057778,             0.00057778
                     69,                0.68413,                0.63622,                 1.1208,                0.77639,                0.77507,                0.81703,                0.58153,                 0.9828,                0.84745,                 1.3646,             0.00056128,             0.00056128,             0.00056128
                     70,                0.65066,                0.57992,                 1.1045,                0.83199,                0.76448,                0.81552,                0.61179,                0.89765,                0.79409,                  1.314,             0.00054478,             0.00054478,             0.00054478
                     71,                0.66418,                0.64565,                 1.1241,                0.84014,                0.75107,                0.82876,                0.62074,                0.91567,                0.78445,                 1.3289,             0.00052827,             0.00052827,             0.00052827
                     72,                0.64809,                0.61622,                 1.1055,                0.82017,                0.76892,                 0.8302,                0.61498,                0.89979,                0.74946,                 1.3364,             0.00051177,             0.00051177,             0.00051177
                     73,                0.63184,                0.58711,                 1.0843,                0.88619,                0.71519,                  0.827,                0.62408,                 0.9153,                0.72123,                 1.3698,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64627,                0.62486,                  1.124,                0.81104,                0.75031,                0.82754,                0.61156,                0.94181,                  0.755,                 1.3634,             0.00047876,             0.00047876,             0.00047876
                     75,                0.63144,                0.59699,                 1.0992,                0.89091,                0.70089,                0.81728,                0.61019,                0.92244,                0.75731,                 1.3307,             0.00046226,             0.00046226,             0.00046226
                     76,                0.60959,                0.57477,                 1.1062,                0.89875,                0.71002,                  0.823,                0.62059,                0.87513,                0.75764,                   1.31,             0.00044576,             0.00044576,             0.00044576
                     77,                0.62376,                0.59004,                 1.1111,                0.90339,                0.72695,                0.83214,                0.62807,                0.88763,                0.75671,                 1.3211,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.6078,                0.54964,                  1.085,                0.87309,                0.75176,                0.83209,                0.61841,                0.91378,                0.78157,                 1.3435,             0.00041275,             0.00041275,             0.00041275
                     79,                0.60681,                0.58848,                 1.0956,                0.86982,                 0.7828,                0.84019,                0.63065,                0.90828,                0.76877,                 1.3333,             0.00039625,             0.00039625,             0.00039625
                     80,                0.60285,                0.56076,                 1.0917,                0.82375,                  0.789,                0.83501,                0.62163,                0.92868,                0.88549,                 1.3388,             0.00037974,             0.00037974,             0.00037974
                     81,                 0.5823,                0.53926,                 1.0709,                0.83103,                0.77186,                0.83775,                0.62394,                0.90689,                 0.8507,                 1.3261,             0.00036324,             0.00036324,             0.00036324
                     82,                0.56805,                0.52836,                 1.0474,                  0.892,                0.75224,                0.84476,                0.63087,                0.88687,                0.79033,                 1.3242,             0.00034674,             0.00034674,             0.00034674
                     83,                0.56235,                0.52963,                 1.0558,                0.85874,                0.78154,                0.84154,                0.64061,                0.87387,                0.73907,                 1.3144,             0.00033023,             0.00033023,             0.00033023
                     84,                0.57645,                0.54868,                 1.0629,                0.90514,                0.75995,                0.83644,                0.63811,                0.89346,                0.75147,                  1.316,             0.00031373,             0.00031373,             0.00031373
                     85,                0.55048,                0.51879,                 1.0517,                0.88131,                0.76226,                0.83685,                0.63241,                0.88312,                 0.7466,                 1.3045,             0.00029723,             0.00029723,             0.00029723
                     86,                0.54027,                0.50714,                 1.0531,                0.84921,                0.79367,                0.83441,                0.62982,                0.86747,                0.75772,                 1.2882,             0.00028072,             0.00028072,             0.00028072
                     87,                0.53239,                0.50928,                 1.0442,                0.85755,                0.78464,                0.84343,                0.64578,                0.84817,                 0.7409,                 1.2746,             0.00026422,             0.00026422,             0.00026422
